"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-01","47","57","36"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-02","48","56","38"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-03","50","59","42"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-04","53","61","42"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-05","61","79","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-06","68","83","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-07","65","79","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-08","60","71","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-09","61","71","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-10","58","61","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-11","56","60","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-12","57","62","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-13","58","63","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-14","58","69","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-15","60","73","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-16","61","73","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-17","60","74","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-18","59","68","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-19","58","66","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-20","56","59","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-21","58","63","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-22","59","73","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-23","62","72","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-24","61","76","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-25","65","80","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-26","67","76","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-27","60","69","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-28","61","72","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-29","65","73","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-30","64","68","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-01-31","60","66","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-01","59","70","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-02","60","68","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-03","58","62","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-04","58","62","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-05","57","72","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-06","58","65","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-07","58","64","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-08","63","71","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-09","61","67","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-10","60","72","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-11","66","83","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-12","71","84","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-13","69","84","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-14","68","82","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-15","63","74","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-16","59","63","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-17","60","65","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-18","60","67","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-19","60","65","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-20","60","65","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-21","60","65","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-22","59","62","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-23","55","62","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-24","57","72","45"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-25","58","69","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-26","57","64","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-27","58","64","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-02-28","58","61","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-01","56","63","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-02","54","60","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-03","54","63","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-04","57","68","47"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-05","60","73","49"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-06","63","79","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-07","68","83","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-08","63","71","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-09","59","64","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-10","60","68","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-11","62","71","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-12","67","81","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-13","74","85","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-14","74","90","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-15","75","88","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-16","74","87","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-17","67","78","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-18","65","72","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-19","63","68","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-20","63","70","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-21","63","68","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-22","61","66","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-23","61","68","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-24","62","71","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-25","66","76","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-26","69","85","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-27","69","83","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-28","64","71","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-29","61","68","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-30","61","67","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-03-31","59","66","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-01","61","68","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-02","61","70","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-03","65","83","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-04","69","78","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-05","62","68","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-06","58","63","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-07","57","65","50"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-08","57","65","48"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-09","60","69","52"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-10","59","65","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-11","59","68","53"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-12","61","70","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-13","62","66","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-14","60","66","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-15","64","75","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-16","66","77","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-17","65","74","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-18","64","72","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-19","60","65","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-20","59","64","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-21","60","65","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-22","60","65","54"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-23","60","66","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-24","59","64","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-25","59","63","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-26","60","70","51"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-27","65","76","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-28","68","80","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-29","66","76","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-04-30","66","73","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-05-01","61","72","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2015-05-02","62","68","57"
